beneficiary_id,name,age_group,age_months,gender,region,meals_per_day,food_diversity_score,protein_intake_g,calorie_intake_kcal,attendance_rate,days_since_last_check,risk_score,risk_category,last_updated
BEN00732,Ishita Malhotra,3-5 years,54,Female,Kerala,3,7,49.5,2164.0,0.77,6,8.2,Low,2025-12-15 16:06:13
BEN00733,Pranav Desai,0-2 years,13,Male,Jammu and Kashmir,3,2,15.7,979.0,0.45,25,78.4,High,2026-01-01 16:06:13
BEN00734,Ved Pandey,3-5 years,38,Male,NCT Delhi,2,3,18.0,924.0,0.38,10,95.8,High,2025-12-08 16:06:13
BEN00735,Syed Pandey,13-18 years,201,Male,Andhra Pradesh,2,5,56.5,1680.0,0.81,12,42.9,Medium,2025-12-16 16:06:13
BEN00736,Arjun Khan,6-12 years,100,Male,Andhra Pradesh,3,5,39.1,1736.0,0.89,25,36.5,Medium,2025-12-29 16:06:13
BEN00737,Arjun Joshi,3-5 years,47,Male,Madhya Pradesh,3,6,47.8,1935.0,0.85,7,10.0,Low,2025-12-10 16:06:13
BEN00738,Angel Pandey,3-5 years,48,Female,Gujarat,3,7,43.5,2046.0,0.89,37,6.7,Low,2025-12-23 16:06:13
BEN00739,Aarav Desai,0-2 years,24,Male,Gujarat,2,3,28.9,1331.0,0.39,31,94.6,High,2025-12-24 16:06:13
BEN00740,Kabir Nair,3-5 years,43,Male,Jharkhand,3,6,37.7,2134.0,0.76,19,25.9,Low,2025-12-22 16:06:13
BEN00741,Ved Chopra,6-12 years,98,Male,Karnataka,2,4,54.1,1909.0,0.76,8,55.3,Medium,2026-01-03 16:06:13
BEN00742,Pari Sharma,13-18 years,169,Female,Gujarat,2,5,42.6,1800.0,0.83,6,44.4,Medium,2025-12-25 16:06:13
BEN00743,Avni Khan,3-5 years,59,Female,Jharkhand,1,2,27.6,1259.0,0.31,25,91.5,High,2025-12-06 16:06:13
BEN00744,Prisha Yadav,3-5 years,55,Female,NCT Delhi,3,7,44.1,1508.0,0.81,27,9.5,Low,2026-01-03 16:06:13
BEN00745,Diya Pandey,0-2 years,15,Female,Gujarat,4,6,54.7,1786.0,0.96,11,10.3,Low,2025-12-26 16:06:13
BEN00746,Kabir Shah,0-2 years,8,Male,Telangana,4,5,56.7,1838.0,0.83,5,13.8,Low,2025-12-30 16:06:13
BEN00747,Aadhya Das,6-12 years,108,Female,Jharkhand,2,4,39.4,1700.0,0.88,18,49.6,Medium,2025-12-07 16:06:13
BEN00748,Atharva Kumar,6-12 years,101,Male,Chhattisgarh,3,5,58.4,1538.0,0.92,25,31.4,Medium,2025-12-15 16:06:13
BEN00749,Syed Mehta,6-12 years,127,Male,Haryana,3,7,37.5,2002.0,0.92,27,28.1,Low,2025-12-26 16:06:13
BEN00750,Kabir Joshi,6-12 years,128,Male,Tamil Nadu,4,7,39.2,1521.0,0.83,16,21.3,Low,2025-12-19 16:06:13
BEN00751,Kabir Singh,3-5 years,47,Male,Chhattisgarh,4,7,41.9,2109.0,0.9,26,5.2,Low,2025-12-20 16:06:13
BEN00752,Prisha Patel,6-12 years,104,Female,Rajasthan,1,3,17.7,1272.0,0.55,15,82.8,High,2025-12-28 16:06:13
BEN00753,Kiara Desai,0-2 years,23,Female,Jammu and Kashmir,1,1,12.7,1348.0,0.49,29,96.3,High,2025-12-15 16:06:13
BEN00754,Zoya Khan,6-12 years,132,Female,Madhya Pradesh,4,5,49.3,1839.0,0.89,37,26.1,Low,2025-12-07 16:06:13
BEN00755,Myra Shah,0-2 years,13,Female,Madhya Pradesh,2,3,29.1,836.0,0.48,19,82.4,High,2025-12-13 16:06:13
BEN00756,Ishita Patel,6-12 years,110,Female,Rajasthan,3,6,43.1,1705.0,0.76,38,21.8,Low,2025-12-10 16:06:13
BEN00757,Riya Gupta,3-5 years,41,Female,Chhattisgarh,4,5,45.9,1675.0,0.92,31,11.9,Low,2025-12-21 16:06:13
BEN00758,Ishita Pandey,0-2 years,16,Female,NCT Delhi,3,6,52.6,1919.0,0.87,33,19.8,Low,2025-12-24 16:06:13
BEN00759,Aaradhya Pandey,3-5 years,43,Female,Rajasthan,2,5,35.9,1992.0,0.82,11,54.0,Medium,2025-12-10 16:06:13
BEN00760,Vivaan Verma,13-18 years,181,Male,NCT Delhi,3,5,56.7,1863.0,1.0,0,30.4,Medium,2026-01-01 16:06:13
BEN00761,Krishna Khan,6-12 years,143,Male,Bihar,2,1,26.2,1076.0,0.66,36,99.4,High,2025-12-09 16:06:13
BEN00762,Syed Singh,13-18 years,160,Male,Haryana,2,3,13.0,1192.0,0.57,12,91.6,High,2025-12-15 16:06:13
BEN00763,Muhammad Malhotra,13-18 years,213,Male,Tamil Nadu,4,6,48.1,1943.0,0.89,32,22.1,Low,2025-12-21 16:06:13
BEN00764,Arnav Pandey,6-12 years,91,Male,NCT Delhi,2,3,13.2,1023.0,0.64,32,90.5,High,2025-12-25 16:06:13
BEN00765,Aryan Desai,3-5 years,53,Male,Jammu and Kashmir,3,6,43.4,1992.0,0.81,22,9.8,Low,2026-01-03 16:06:13
BEN00766,Pranav Malhotra,3-5 years,50,Male,Jharkhand,2,2,28.3,1375.0,0.3,1,91.4,High,2026-01-03 16:06:13
BEN00767,Aditi Yadav,6-12 years,127,Female,Maharashtra,3,7,45.9,1641.0,0.78,35,20.2,Low,2025-12-10 16:06:13
BEN00768,Dhruv Pandey,6-12 years,78,Male,Kerala,4,7,44.3,1550.0,0.97,26,4.6,Low,2025-12-11 16:06:13
BEN00769,Diya Shah,0-2 years,20,Female,Tamil Nadu,3,7,45.4,1660.0,0.81,16,12.9,Low,2025-12-06 16:06:13
BEN00770,Siya Malhotra,3-5 years,59,Female,Chhattisgarh,3,7,56.8,1823.0,0.76,8,6.4,Low,2025-12-26 16:06:13
BEN00771,Muhammad Malhotra,0-2 years,17,Male,Rajasthan,3,7,46.2,1788.0,0.88,16,21.0,Low,2025-12-31 16:06:13
BEN00772,Muhammad Patel,0-2 years,24,Male,Gujarat,1,1,10.4,1333.0,0.39,42,97.8,High,2025-12-15 16:06:13
BEN00773,Ishita Malhotra,6-12 years,114,Female,Bihar,3,1,29.2,1234.0,0.56,23,88.6,High,2025-12-18 16:06:13
BEN00774,Krishna Nair,6-12 years,133,Male,Tamil Nadu,2,4,37.3,1975.0,0.93,28,39.1,Medium,2025-12-22 16:06:13
BEN00775,Saanvi Das,6-12 years,121,Female,Kerala,3,4,43.3,2102.0,0.87,5,21.3,Low,2025-12-10 16:06:13
BEN00776,Advaith Gupta,0-2 years,11,Male,Odisha,1,3,12.6,1250.0,0.34,40,84.8,High,2026-01-02 16:06:13
BEN00777,Aadhya Joshi,3-5 years,44,Female,Maharashtra,3,2,27.5,850.0,0.57,6,87.3,High,2025-12-24 16:06:13
BEN00778,Ananya Joshi,3-5 years,44,Female,Telangana,3,5,54.5,2003.0,0.87,27,26.6,Low,2025-12-09 16:06:13
BEN00779,Riya Gupta,6-12 years,129,Female,Assam,3,4,37.7,1576.0,0.86,22,44.2,Medium,2025-12-12 16:06:13
BEN00780,Aaradhya Khan,3-5 years,47,Female,Maharashtra,3,4,44.0,1532.0,0.96,31,33.5,Medium,2025-12-24 16:06:13
BEN00781,Ananya Rao,0-2 years,13,Female,Gujarat,3,6,51.1,1792.0,0.82,20,17.2,Low,2025-12-27 16:06:13
BEN00782,Saanvi Iyer,0-2 years,0,Female,Kerala,3,5,45.6,2051.0,0.99,25,19.4,Low,2025-12-09 16:06:13
BEN00783,Pihu Chopra,13-18 years,185,Female,Kerala,2,3,12.9,1350.0,0.7,11,93.7,High,2025-12-29 16:06:13
BEN00784,Navya Patel,13-18 years,189,Female,Punjab,4,5,47.3,1872.0,0.8,19,16.8,Low,2025-12-08 16:06:13
BEN00785,Ananya Reddy,6-12 years,97,Female,Karnataka,2,2,22.0,835.0,0.61,32,100.0,High,2025-12-29 16:06:13
BEN00786,Aadhya Rao,3-5 years,50,Female,Telangana,3,5,36.3,1670.0,0.95,1,35.8,Medium,2025-12-18 16:06:13
BEN00787,Angel Mehta,3-5 years,46,Female,Assam,1,1,16.2,1141.0,0.4,38,100.0,High,2025-12-27 16:06:13
BEN00788,Saanvi Gupta,3-5 years,60,Female,Karnataka,3,4,59.2,1926.0,0.85,33,35.3,Medium,2025-12-24 16:06:13
BEN00789,Atharva Shah,0-2 years,8,Male,Assam,4,4,42.2,2157.0,0.96,1,9.8,Low,2025-12-31 16:06:13
BEN00790,Ananya Nair,3-5 years,39,Female,Andhra Pradesh,2,2,16.9,1248.0,0.64,3,82.1,High,2025-12-30 16:06:13
BEN00791,Pranav Mehta,6-12 years,82,Male,Maharashtra,3,6,47.5,1819.0,0.84,15,19.2,Low,2025-12-29 16:06:13
BEN00792,Sara Nair,3-5 years,59,Female,Jharkhand,4,5,50.0,1699.0,0.97,9,15.2,Low,2025-12-05 16:06:13
BEN00793,Reyansh Verma,0-2 years,5,Male,Gujarat,2,1,20.5,1384.0,0.66,2,80.0,High,2026-01-03 16:06:13
BEN00794,Kabir Singh,3-5 years,50,Male,Jharkhand,2,6,46.5,2137.0,0.83,18,24.5,Low,2025-12-08 16:06:13
BEN00795,Ishita Kumar,6-12 years,100,Female,Odisha,2,2,26.7,1289.0,0.51,17,89.6,High,2025-12-05 16:06:13
BEN00796,Vivaan Verma,3-5 years,58,Male,Chhattisgarh,1,1,16.4,1278.0,0.47,40,100.0,High,2025-12-21 16:06:13
BEN00797,Syed Desai,3-5 years,44,Male,Assam,3,7,48.9,2103.0,0.81,27,25.9,Low,2025-12-29 16:06:13
BEN00798,Ved Sharma,6-12 years,83,Male,Tamil Nadu,3,6,45.0,1712.0,0.95,20,22.8,Low,2025-12-18 16:06:13
BEN00799,Ved Reddy,6-12 years,83,Male,Odisha,1,1,28.1,1046.0,0.68,22,95.1,High,2025-12-12 16:06:13
BEN00800,Dhruv Malhotra,6-12 years,110,Male,West Bengal,2,5,35.5,1899.0,0.83,39,53.5,Medium,2026-01-01 16:06:13
BEN00801,Arnav Verma,13-18 years,207,Male,Gujarat,3,5,49.8,1941.0,0.96,37,28.8,Low,2025-12-11 16:06:13
BEN00802,Kiara Joshi,0-2 years,19,Female,Uttar Pradesh,3,2,21.1,1118.0,0.43,16,75.3,High,2025-12-14 16:06:13
BEN00803,Pihu Nair,3-5 years,39,Female,NCT Delhi,3,4,56.5,1990.0,0.89,35,32.5,Medium,2025-12-22 16:06:13
BEN00804,Ishaan Kumar,13-18 years,170,Male,Maharashtra,4,5,53.7,2108.0,0.88,18,10.8,Low,2025-12-08 16:06:13
BEN00805,Pari Khan,6-12 years,128,Female,West Bengal,4,6,43.9,1704.0,0.9,15,9.6,Low,2025-12-18 16:06:13
BEN00806,Siya Shah,6-12 years,118,Female,Assam,2,1,18.9,1253.0,0.6,42,100.0,High,2026-01-03 16:06:13
BEN00807,Aarav Iyer,3-5 years,57,Male,Haryana,3,4,59.8,1976.0,0.98,9,28.2,Low,2025-12-30 16:06:13
BEN00808,Zoya Yadav,3-5 years,49,Female,Andhra Pradesh,3,7,49.7,1597.0,0.75,8,17.6,Low,2025-12-13 16:06:13
BEN00809,Syed Das,0-2 years,16,Male,Jammu and Kashmir,2,3,24.1,1140.0,0.68,5,79.2,High,2025-12-28 16:06:13
BEN00810,Aryan Desai,0-2 years,1,Male,Karnataka,2,2,10.8,877.0,0.39,38,100.0,High,2025-12-14 16:06:13
BEN00811,Siya Pandey,3-5 years,39,Female,Haryana,1,2,11.9,1154.0,0.55,33,90.3,High,2025-12-17 16:06:13
BEN00812,Navya Rao,0-2 years,24,Female,Jharkhand,3,3,17.3,1370.0,0.43,41,80.4,High,2025-12-06 16:06:13
BEN00813,Angel Singh,0-2 years,7,Female,Uttar Pradesh,2,1,10.5,1162.0,0.36,24,100.0,High,2025-12-11 16:06:13
BEN00814,Kabir Desai,0-2 years,19,Male,Uttar Pradesh,2,1,23.1,811.0,0.63,40,100.0,High,2025-12-14 16:06:13
BEN00815,Shaurya Gupta,6-12 years,100,Male,Punjab,2,1,15.7,1099.0,0.32,39,100.0,High,2025-12-07 16:06:13
BEN00816,Aadhya Reddy,3-5 years,37,Female,Punjab,3,7,57.2,1689.0,0.92,15,17.6,Low,2025-12-15 16:06:13
BEN00817,Angel Pandey,13-18 years,184,Female,Bihar,3,5,37.1,1654.0,0.75,20,42.0,Medium,2025-12-26 16:06:13
BEN00818,Sai Iyer,0-2 years,20,Male,Andhra Pradesh,2,3,10.4,1220.0,0.56,5,81.8,High,2025-12-19 16:06:13
BEN00819,Pihu Nair,6-12 years,102,Female,Telangana,2,3,21.9,1187.0,0.6,34,88.5,High,2025-12-12 16:06:13
BEN00820,Ananya Verma,6-12 years,135,Female,Jammu and Kashmir,2,6,58.9,1590.0,0.92,37,37.4,Medium,2025-12-10 16:06:13
BEN00821,Pranav Das,0-2 years,18,Male,Jharkhand,1,1,15.1,1104.0,0.69,6,87.9,High,2025-12-15 16:06:13
BEN00822,Krishna Kumar,6-12 years,140,Male,Jammu and Kashmir,2,2,28.8,832.0,0.5,40,100.0,High,2025-12-21 16:06:13
BEN00823,Sara Reddy,3-5 years,46,Female,Madhya Pradesh,2,6,48.9,1788.0,0.87,11,32.5,Medium,2025-12-07 16:06:13
BEN00824,Avni Malhotra,0-2 years,13,Female,Punjab,3,6,49.6,1697.0,0.98,20,14.5,Low,2026-01-01 16:06:13
BEN00825,Advaith Sharma,0-2 years,3,Male,Kerala,1,2,22.0,1108.0,0.58,18,77.8,High,2025-12-22 16:06:13
BEN00826,Pranav Singh,6-12 years,119,Male,Telangana,1,2,12.6,987.0,0.51,40,100.0,High,2025-12-25 16:06:13
BEN00827,Zoya Patel,6-12 years,76,Female,Gujarat,3,4,38.8,1626.0,0.86,7,34.4,Medium,2025-12-16 16:06:13
BEN00828,Ved Gupta,3-5 years,53,Male,Telangana,2,2,23.6,806.0,0.49,19,100.0,High,2025-12-18 16:06:13
BEN00829,Shaurya Kumar,6-12 years,132,Male,Jammu and Kashmir,3,6,45.5,2178.0,0.76,5,16.4,Low,2025-12-21 16:06:13
BEN00830,Ved Khan,3-5 years,38,Male,Odisha,3,3,29.6,1010.0,0.4,31,84.3,High,2025-12-10 16:06:13
BEN00831,Atharva Malhotra,13-18 years,214,Male,Madhya Pradesh,3,7,51.5,1776.0,0.94,1,20.0,Low,2025-12-09 16:06:13
BEN00832,Aaradhya Gupta,0-2 years,16,Female,Odisha,2,2,19.0,1363.0,0.59,27,84.5,High,2025-12-21 16:06:13
BEN00833,Aaradhya Das,6-12 years,132,Female,Karnataka,2,5,56.8,1975.0,0.92,26,36.2,Medium,2025-12-10 16:06:13
BEN00834,Sara Yadav,6-12 years,108,Female,NCT Delhi,3,4,38.4,1914.0,0.83,30,44.3,Medium,2025-12-24 16:06:13
BEN00835,Aditi Sharma,6-12 years,89,Female,Odisha,3,5,44.9,1826.0,0.97,28,25.4,Low,2025-12-20 16:06:13
BEN00836,Diya Chopra,0-2 years,2,Female,Maharashtra,3,4,55.8,1511.0,0.82,38,36.8,Medium,2025-12-16 16:06:13
BEN00837,Advaith Joshi,6-12 years,85,Male,Telangana,3,6,57.2,1681.0,0.78,40,32.9,Medium,2025-12-23 16:06:13
BEN00838,Muhammad Iyer,6-12 years,116,Male,Uttar Pradesh,2,5,43.7,1920.0,0.98,4,31.5,Medium,2026-01-02 16:06:13
BEN00839,Anika Desai,3-5 years,57,Female,Assam,1,1,11.6,980.0,0.39,31,100.0,High,2026-01-02 16:06:13
BEN00840,Reyansh Yadav,3-5 years,39,Male,NCT Delhi,1,3,11.2,894.0,0.48,8,97.2,High,2025-12-22 16:06:13
BEN00841,Diya Iyer,6-12 years,90,Female,Karnataka,3,7,36.0,1733.0,0.87,23,30.6,Medium,2025-12-05 16:06:13
BEN00842,Arjun Pandey,0-2 years,23,Male,Tamil Nadu,3,3,12.1,1274.0,0.51,9,64.7,High,2025-12-17 16:06:13
BEN00843,Prisha Gupta,13-18 years,158,Female,Madhya Pradesh,2,7,58.2,1870.0,0.94,36,44.7,Medium,2025-12-16 16:06:13
BEN00844,Arnav Das,3-5 years,49,Male,Tamil Nadu,4,6,43.1,1975.0,0.89,19,2.8,Low,2025-12-14 16:06:13
BEN00845,Shaurya Rao,13-18 years,204,Male,Jharkhand,2,2,13.2,809.0,0.61,40,100.0,High,2025-12-23 16:06:13
BEN00846,Kabir Mehta,6-12 years,140,Male,Odisha,2,7,51.8,1677.0,0.83,43,35.2,Medium,2026-01-01 16:06:13
BEN00847,Sara Rao,3-5 years,52,Female,NCT Delhi,2,6,50.6,1647.0,0.83,41,30.4,Medium,2025-12-24 16:06:13
BEN00848,Navya Yadav,3-5 years,44,Female,West Bengal,3,7,43.1,1666.0,0.88,21,21.0,Low,2025-12-12 16:06:13
BEN00849,Siya Mehta,0-2 years,7,Female,Uttar Pradesh,2,1,16.5,1093.0,0.68,19,95.0,High,2026-01-03 16:06:13
BEN00850,Kiara Reddy,13-18 years,182,Female,Punjab,2,5,51.5,1531.0,0.96,26,52.1,Medium,2025-12-18 16:06:13
BEN00851,Ved Iyer,13-18 years,158,Male,Chhattisgarh,2,6,57.9,1789.0,0.86,44,39.1,Medium,2025-12-08 16:06:13
BEN00852,Anika Verma,0-2 years,14,Female,Madhya Pradesh,4,5,51.8,1514.0,0.88,8,19.9,Low,2025-12-07 16:06:13
BEN00853,Pranav Rao,3-5 years,56,Male,Jharkhand,3,6,59.6,1906.0,0.75,29,11.8,Low,2025-12-08 16:06:13
BEN00854,Pari Malhotra,6-12 years,90,Female,Telangana,3,7,57.4,1972.0,0.8,29,21.5,Low,2025-12-28 16:06:13
BEN00855,Syed Joshi,6-12 years,98,Male,Kerala,2,7,55.4,2033.0,0.82,19,30.6,Medium,2025-12-09 16:06:13
BEN00856,Dhruv Shah,0-2 years,19,Male,NCT Delhi,3,7,40.6,2097.0,0.81,40,23.0,Low,2025-12-26 16:06:13
BEN00857,Ishaan Kumar,3-5 years,49,Male,West Bengal,2,7,42.1,1707.0,0.99,27,29.2,Low,2025-12-27 16:06:13
BEN00858,Syed Iyer,13-18 years,195,Male,Gujarat,3,6,38.3,1948.0,0.94,30,36.0,Medium,2025-12-06 16:06:13
BEN00859,Navya Das,6-12 years,126,Female,Bihar,2,5,55.8,1598.0,0.97,32,46.7,Medium,2025-12-27 16:06:13
BEN00860,Ved Mehta,3-5 years,43,Male,Telangana,4,7,47.3,1581.0,0.86,8,0.0,Low,2025-12-14 16:06:13
BEN00861,Pari Kumar,0-2 years,3,Female,Assam,3,7,38.2,2047.0,0.99,7,28.7,Low,2025-12-17 16:06:13
BEN00862,Atharva Sharma,0-2 years,14,Male,Tamil Nadu,4,4,38.5,1653.0,0.89,9,29.4,Low,2025-12-25 16:06:13
BEN00863,Advaith Chopra,3-5 years,49,Male,Bihar,3,7,44.6,1719.0,0.85,21,9.1,Low,2025-12-11 16:06:13
BEN00864,Arjun Singh,0-2 years,11,Male,Andhra Pradesh,3,5,50.9,1589.0,0.93,22,29.8,Low,2025-12-15 16:06:13
BEN00865,Krishna Nair,3-5 years,53,Male,Gujarat,4,4,50.7,1842.0,0.97,40,19.2,Low,2025-12-31 16:06:13
BEN00866,Reyansh Das,6-12 years,95,Male,Rajasthan,3,7,48.3,1993.0,0.82,5,9.9,Low,2026-01-02 16:06:13
BEN00867,Krishna Kumar,6-12 years,139,Male,Madhya Pradesh,3,4,59.5,1825.0,0.95,14,18.9,Low,2025-12-13 16:06:13
BEN00868,Ishita Reddy,0-2 years,2,Female,Chhattisgarh,4,4,45.4,2031.0,0.85,28,17.2,Low,2025-12-25 16:06:13
BEN00869,Anika Das,3-5 years,43,Female,Jharkhand,2,2,19.4,1137.0,0.36,38,100.0,High,2025-12-26 16:06:13
BEN00870,Aryan Verma,6-12 years,77,Male,Punjab,4,7,60.0,1803.0,0.93,44,6.3,Low,2025-12-18 16:06:13
BEN00871,Aaradhya Verma,6-12 years,86,Female,West Bengal,3,6,48.6,2122.0,0.92,26,27.9,Low,2025-12-06 16:06:13
BEN00872,Avni Mehta,0-2 years,8,Female,Telangana,3,5,41.8,2200.0,0.83,42,26.6,Low,2025-12-15 16:06:13
BEN00873,Diya Yadav,3-5 years,49,Female,Uttar Pradesh,3,6,36.1,1919.0,0.96,28,34.9,Medium,2025-12-28 16:06:13
BEN00874,Pari Desai,3-5 years,58,Female,Kerala,4,5,49.3,2030.0,0.78,14,20.0,Low,2025-12-19 16:06:13
BEN00875,Siya Gupta,0-2 years,7,Female,Kerala,2,2,17.1,1187.0,0.52,23,89.3,High,2025-12-31 16:06:13
BEN00876,Muhammad Joshi,3-5 years,53,Male,Punjab,1,2,29.1,908.0,0.59,44,100.0,High,2025-12-15 16:06:13
BEN00877,Navya Yadav,0-2 years,20,Female,Jammu and Kashmir,3,1,16.7,874.0,0.33,5,81.8,High,2026-01-01 16:06:13
BEN00878,Pihu Yadav,6-12 years,129,Female,Rajasthan,3,7,54.5,1606.0,0.91,13,20.1,Low,2026-01-01 16:06:13
BEN00879,Ayaan Nair,6-12 years,106,Male,Haryana,3,6,56.6,1868.0,0.88,44,23.6,Low,2025-12-30 16:06:13
BEN00880,Diya Khan,3-5 years,52,Female,Assam,3,3,26.7,1370.0,0.62,12,53.3,Medium,2025-12-31 16:06:13
BEN00881,Pari Malhotra,0-2 years,2,Female,Bihar,3,4,55.0,1754.0,0.8,38,32.6,Medium,2025-12-17 16:06:13
BEN00882,Sara Kumar,3-5 years,39,Female,Rajasthan,3,5,47.1,1740.0,0.85,17,23.4,Low,2025-12-27 16:06:13
BEN00883,Aditi Rao,3-5 years,47,Female,Tamil Nadu,4,4,59.7,2075.0,0.86,42,27.0,Low,2025-12-10 16:06:13
BEN00884,Shaurya Malhotra,6-12 years,73,Male,West Bengal,2,4,60.0,1760.0,0.82,43,38.6,Medium,2025-12-14 16:06:13
BEN00885,Navya Pandey,6-12 years,97,Female,Tamil Nadu,4,6,36.9,1520.0,0.97,26,26.9,Low,2025-12-17 16:06:13
BEN00886,Aryan Sharma,3-5 years,60,Male,Maharashtra,2,5,41.8,2163.0,0.87,43,43.6,Medium,2025-12-10 16:06:13
BEN00887,Advaith Reddy,6-12 years,95,Male,Jammu and Kashmir,3,6,37.9,1626.0,0.99,20,32.3,Medium,2025-12-13 16:06:13
BEN00888,Pihu Singh,3-5 years,39,Female,Haryana,1,2,27.1,870.0,0.58,10,88.0,High,2025-12-10 16:06:13
BEN00889,Vivaan Singh,3-5 years,40,Male,West Bengal,2,3,11.2,811.0,0.69,26,90.6,High,2025-12-29 16:06:13
BEN00890,Ayaan Chopra,3-5 years,56,Male,Haryana,3,5,57.0,2083.0,0.98,26,27.6,Low,2025-12-07 16:06:13
BEN00891,Aarav Rao,13-18 years,156,Male,Karnataka,1,2,11.2,1332.0,0.59,43,100.0,High,2026-01-03 16:06:13
BEN00892,Navya Kumar,13-18 years,209,Female,Assam,3,4,36.9,2072.0,0.97,7,41.6,Medium,2025-12-28 16:06:13
BEN00893,Aditya Desai,6-12 years,98,Male,Assam,3,7,37.8,1668.0,0.81,7,22.4,Low,2025-12-15 16:06:13
BEN00894,Siya Verma,6-12 years,91,Female,Telangana,4,4,53.5,1962.0,0.81,8,18.4,Low,2025-12-22 16:06:13
BEN00895,Diya Pandey,6-12 years,130,Female,Bihar,3,6,46.9,1593.0,0.85,16,16.9,Low,2025-12-21 16:06:13
BEN00896,Diya Rao,0-2 years,18,Female,West Bengal,4,6,58.5,1636.0,0.79,7,1.7,Low,2025-12-12 16:06:13
BEN00897,Krishna Chopra,6-12 years,132,Male,Punjab,3,7,54.7,2073.0,0.82,25,11.6,Low,2025-12-13 16:06:13
BEN00898,Ved Gupta,13-18 years,165,Male,Rajasthan,4,4,54.5,1565.0,0.79,7,21.2,Low,2025-12-25 16:06:13
BEN00899,Aaradhya Yadav,6-12 years,119,Female,Karnataka,2,5,42.9,2181.0,0.82,31,39.7,Medium,2025-12-21 16:06:13
BEN00900,Arnav Kumar,0-2 years,12,Male,Uttar Pradesh,2,7,54.6,2009.0,0.93,25,37.3,Medium,2025-12-15 16:06:13
BEN00901,Aryan Reddy,3-5 years,47,Male,Telangana,3,1,12.8,872.0,0.58,3,79.0,High,2026-01-03 16:06:13
BEN00902,Aadhya Gupta,3-5 years,56,Female,Assam,2,4,43.4,1707.0,0.77,3,42.3,Medium,2025-12-24 16:06:13
BEN00903,Aditi Khan,13-18 years,168,Female,Telangana,4,6,54.5,1835.0,0.86,29,21.8,Low,2025-12-24 16:06:13
BEN00904,Syed Shah,13-18 years,182,Male,Madhya Pradesh,3,5,53.4,1980.0,0.83,3,22.4,Low,2025-12-05 16:06:13
BEN00905,Shaurya Desai,3-5 years,50,Male,Karnataka,3,4,49.1,1554.0,0.79,26,33.4,Medium,2025-12-25 16:06:13
BEN00906,Angel Pandey,13-18 years,167,Female,Uttar Pradesh,3,7,55.7,1734.0,0.82,43,23.1,Low,2025-12-27 16:06:13
BEN00907,Avni Mehta,0-2 years,15,Female,Jharkhand,4,7,43.2,1562.0,0.93,30,4.3,Low,2025-12-31 16:06:13
BEN00908,Siya Joshi,0-2 years,16,Female,Andhra Pradesh,2,3,17.7,1174.0,0.36,43,98.8,High,2026-01-02 16:06:13
BEN00909,Sai Chopra,3-5 years,44,Male,Karnataka,2,2,17.8,1154.0,0.41,4,94.7,High,2025-12-28 16:06:13
BEN00910,Muhammad Singh,0-2 years,15,Male,Rajasthan,3,3,21.0,842.0,0.52,19,68.7,High,2025-12-28 16:06:13
BEN00911,Aadhya Yadav,0-2 years,7,Female,Gujarat,4,4,54.8,1581.0,0.98,14,20.3,Low,2026-01-03 16:06:13
BEN00912,Aditi Verma,0-2 years,13,Female,Tamil Nadu,3,6,55.2,1708.0,0.88,13,16.3,Low,2025-12-07 16:06:13
BEN00913,Atharva Sharma,3-5 years,36,Male,Uttar Pradesh,3,5,48.6,1667.0,0.96,31,23.9,Low,2025-12-14 16:06:13
BEN00914,Atharva Khan,0-2 years,13,Male,Odisha,3,1,14.6,865.0,0.56,2,71.6,High,2025-12-28 16:06:13
BEN00915,Zoya Das,3-5 years,49,Female,Odisha,3,6,49.1,2167.0,0.95,1,14.2,Low,2025-12-18 16:06:13
BEN00916,Advaith Sharma,13-18 years,193,Male,Rajasthan,3,6,45.4,1672.0,0.87,22,25.8,Low,2025-12-23 16:06:13
BEN00917,Avni Iyer,0-2 years,7,Female,Andhra Pradesh,3,5,40.3,1552.0,0.82,18,23.5,Low,2025-12-14 16:06:13
BEN00918,Navya Rao,0-2 years,20,Female,Andhra Pradesh,3,6,43.6,1738.0,0.97,25,16.8,Low,2025-12-14 16:06:13
BEN00919,Ved Kumar,0-2 years,1,Male,NCT Delhi,3,5,42.4,1799.0,0.8,19,27.2,Low,2025-12-17 16:06:13
BEN00920,Krishna Gupta,6-12 years,77,Male,Uttar Pradesh,3,6,40.7,1905.0,0.89,23,21.7,Low,2025-12-11 16:06:13
BEN00921,Diya Gupta,0-2 years,0,Female,Tamil Nadu,2,2,26.1,1169.0,0.34,41,99.6,High,2025-12-14 16:06:13
BEN00922,Aditya Reddy,0-2 years,16,Male,Karnataka,1,1,18.5,1354.0,0.33,26,100.0,High,2025-12-27 16:06:13
BEN00923,Muhammad Singh,0-2 years,17,Male,Haryana,3,6,48.7,1662.0,0.84,12,9.1,Low,2025-12-17 16:06:13
BEN00924,Syed Das,6-12 years,115,Male,NCT Delhi,3,4,37.6,1695.0,0.97,36,42.7,Medium,2025-12-18 16:06:13
BEN00925,Aadhya Kumar,6-12 years,112,Female,Madhya Pradesh,3,4,36.3,2176.0,0.96,7,34.3,Medium,2025-12-22 16:06:13
BEN00926,Sara Iyer,6-12 years,76,Female,Karnataka,4,4,49.5,1746.0,0.81,30,24.6,Low,2025-12-28 16:06:13
